date,1. open,2. high,3. low,4. close,5. volume
2020-11-13,51.85,52.74,51.74,52.5,3168646.0
2020-11-12,52.3,53.06,51.81,52.2,3324412.0
2020-11-11,52.21,53.45,52.19,52.99,4066917.0
2020-11-10,50.74,53.34,50.71,53.0,7380808.0
2020-11-09,49.185,51.8,48.845,50.7,8854249.0
2020-11-06,49.115,49.4,47.755,48.175,4002324.0
2020-11-05,48.565,49.515,48.31,49.415,5296842.0
2020-11-04,46.31,48.315,45.56,48.02,5861781.0
2020-11-03,46.4,47.56,46.31,47.2,4850185.0
2020-11-02,44.655,46.2,44.24,45.82,4075093.0
2020-10-30,43.4,44.745,43.12,44.4,4213419.0
2020-10-29,44.08,45.06,44.075,44.225,5052316.0
2020-10-28,45.37,45.61,43.88,44.245,7168557.0
2020-10-27,48.055,48.215,46.915,47.06,3966835.0
2020-10-26,47.92,48.96,47.58,47.965,3459150.0
2020-10-23,49.1,49.115,47.88,48.4,3630900.0
2020-10-22,47.395,48.39,46.59,47.905,3467355.0
2020-10-21,48.97,48.97,47.82,47.97,3231443.0
2020-10-20,48.75,48.98,48.23,48.68,2429842.0
2020-10-19,49.315,49.67,48.28,48.81,2976973.0
2020-10-16,49.0,49.695,48.29,49.4,7420444.0
2020-10-15,47.365,47.39,45.875,46.835,4710951.0
2020-10-14,48.845,49.09,48.105,48.275,2699428.0
2020-10-13,49.005,49.155,48.48,48.875,2623430.0
2020-10-12,48.92,49.24,48.615,49.01,3259773.0
2020-10-09,48.91,49.175,48.02,48.18,3149409.0
2020-10-08,49.15,49.485,48.495,48.82,3106212.0
2020-10-07,48.045,49.315,47.7,49.09,4161917.0
2020-10-06,48.0,48.43,47.28,48.13,4403918.0
2020-10-05,47.34,48.1,47.335,47.83,3931783.0
2020-10-02,46.305,46.895,45.935,46.75,2893007.0
2020-10-01,47.0,47.45,46.29,46.745,4254476.0
2020-09-30,45.48,46.825,45.135,46.035,4116696.0
2020-09-29,45.55,45.785,45.11,45.69,2260447.0
2020-09-28,45.0,46.145,44.895,45.875,4015520.0
2020-09-25,44.53,44.905,43.515,44.185,2910318.0
2020-09-24,43.59,45.06,43.4,44.485,3417117.0
2020-09-23,44.265,45.17,43.84,44.29,3357863.0
2020-09-22,43.58,44.27,43.46,43.73,3200067.0
2020-09-21,45.1,45.105,43.085,43.485,5707798.0
2020-09-18,46.215,46.37,45.48,45.48,8027695.0
2020-09-17,45.27,46.62,45.105,46.4,2826149.0
2020-09-16,46.05,46.3,45.755,46.29,2935627.0
2020-09-15,46.36,46.635,45.73,46.0,2503393.0
2020-09-14,47.065,47.15,45.85,46.17,2919323.0
2020-09-11,46.26,46.875,46.17,46.545,3654639.0
2020-09-10,46.1,46.94,46.025,46.515,4443859.0
2020-09-09,45.385,46.6,45.0,46.39,5190973.0
2020-09-08,45.295,45.765,44.68,45.575,4182182.0
2020-09-07,43.925,45.46,43.8,45.1,4604343.0
2020-09-04,43.08,43.995,42.765,43.48,3833266.0
2020-09-03,43.3,44.31,42.76,43.34,4592294.0
2020-09-02,42.82,43.37,42.625,43.08,3398338.0
2020-09-01,43.0,43.225,41.77,42.675,3249098.0
2020-08-31,43.0,43.435,42.54,42.645,3328182.0
2020-08-28,43.335,43.465,42.64,42.88,2933742.0
2020-08-27,43.12,43.785,42.93,43.0,3215726.0
2020-08-26,42.33,43.045,42.08,43.03,2342589.0
2020-08-25,42.95,43.18,42.225,42.33,2999210.0
2020-08-24,41.56,42.84,41.56,42.79,3339028.0
2020-08-21,42.135,42.45,40.545,41.135,4444146.0
2020-08-20,42.08,42.415,41.615,41.965,3349737.0
2020-08-19,42.19,42.92,41.985,42.92,2629857.0
2020-08-18,42.005,42.95,41.8,42.215,3226354.0
2020-08-17,42.1,42.55,41.715,42.335,1682642.0
2020-08-14,42.275,42.385,41.54,42.265,2667113.0
2020-08-13,42.45,43.075,42.245,42.31,2663857.0
2020-08-12,42.2,43.4,42.075,42.62,3734320.0
2020-08-11,41.265,42.6,41.265,42.295,5615413.0
2020-08-10,40.92,41.135,40.235,40.875,1978554.0
2020-08-07,40.535,40.655,39.825,40.6,2277613.0
2020-08-06,40.7,41.26,40.04,40.61,3185465.0
2020-08-05,40.455,41.225,40.265,40.81,3580759.0
2020-08-04,39.8,40.39,39.52,40.155,3535394.0
2020-08-03,37.52,39.285,37.45,39.06,4484128.0
2020-07-31,38.65,38.955,37.4,37.4,4205797.0
2020-07-30,39.89,39.925,37.895,38.6,5654701.0
2020-07-29,39.965,40.045,39.27,39.895,3058253.0
2020-07-28,40.09,40.31,39.35,39.825,3498155.0
2020-07-27,40.24,40.515,39.815,40.07,2570057.0
2020-07-24,40.01,40.64,39.81,39.95,3609519.0
2020-07-23,40.0,41.78,40.0,40.83,7331685.0
2020-07-22,39.355,39.58,38.68,39.16,3450266.0
2020-07-21,39.51,40.12,39.17,39.47,4504066.0
2020-07-20,39.2,39.205,38.29,38.89,3358616.0
2020-07-17,39.2,39.89,38.89,39.335,6754720.0
2020-07-16,37.575,38.05,37.16,37.67,3299911.0
2020-07-15,37.28,38.0,37.02,37.69,3777392.0
2020-07-14,36.64,37.115,36.5,36.995,2894308.0
2020-07-13,37.45,37.73,36.725,37.29,2934319.0
2020-07-10,35.37,36.835,35.32,36.675,4027734.0
2020-07-09,37.065,37.325,36.075,36.15,3338333.0
2020-07-08,37.5,38.11,37.065,37.19,4756449.0
2020-07-07,37.63,38.32,37.155,37.635,3390612.0
2020-07-06,37.86,38.4,37.35,37.815,3755934.0
2020-07-03,37.5,37.73,36.47,36.665,2843616.0
2020-07-02,36.08,37.7,35.88,37.165,5350147.0
2020-07-01,36.17,36.17,35.02,35.66,3866731.0
2020-06-30,36.3,36.45,35.375,36.145,4082706.0
2020-06-29,34.945,36.32,34.945,35.91,5192270.0
2020-06-26,36.525,36.625,34.815,35.01,4012281.0
2020-06-25,34.75,36.21,34.435,35.835,5369065.0
2020-06-24,37.0,37.115,34.72,34.845,6794499.0
2020-06-23,36.995,37.895,36.355,37.085,5653357.0
2020-06-22,36.2,37.005,35.75,36.71,4288411.0
2020-06-19,37.275,37.465,36.66,36.76,10023150.0
2020-06-18,37.0,37.57,36.195,36.73,6409000.0
2020-06-17,37.09,37.76,36.24,37.005,7113939.0
2020-06-16,37.52,37.935,36.13,37.01,7521195.0
2020-06-15,34.675,35.955,34.295,35.675,5861874.0
2020-06-12,35.315,37.415,35.04,36.02,8523010.0
2020-06-11,36.9,37.63,35.315,35.315,9833769.0
2020-06-10,39.58,40.04,37.89,38.8,6184585.0
2020-06-09,40.05,40.295,37.685,38.965,8212206.0
2020-06-08,39.11,41.49,38.96,40.105,7689524.0
2020-06-05,37.56,39.895,37.47,39.825,10011690.0
2020-06-04,36.05,37.5,35.405,37.0,8261154.0
2020-06-03,36.71,37.99,36.145,37.935,8149469.0
2020-06-02,35.0,36.78,34.865,35.96,10392640.0
2020-05-29,34.265,34.49,33.38,33.38,12786660.0
2020-05-28,36.3,36.435,34.475,35.05,6967828.0
2020-05-27,32.85,35.955,32.74,35.55,11873400.0
2020-05-26,32.3,32.75,31.98,32.66,4874937.0
2020-05-25,31.8,31.875,31.03,31.875,3058860.0
2020-05-22,30.63,32.275,30.445,31.34,5709082.0
2020-05-21,31.64,32.26,31.23,31.445,4408959.0
2020-05-20,31.025,32.23,30.08,32.01,6426407.0
2020-05-19,31.6,31.875,30.155,31.005,6977508.0
2020-05-18,28.62,31.235,28.61,31.18,7378357.0
2020-05-15,28.05,28.745,27.425,28.005,5914827.0
2020-05-14,28.18,28.37,26.295,27.615,9728360.0
2020-05-13,30.1,30.155,28.605,28.62,5878910.0
2020-05-12,30.625,31.305,30.59,30.595,3259007.0
2020-05-11,31.77,32.09,30.715,30.96,4356388.0
2020-05-08,30.48,31.655,30.155,31.655,4695447.0
2020-05-07,30.105,30.665,29.94,30.095,4615329.0
2020-05-06,30.745,30.805,29.905,29.905,4987472.0
2020-05-05,30.47,31.26,30.22,30.745,6547996.0
2020-05-04,30.1,30.31,28.905,29.64,7569506.0
2020-04-30,32.735,33.44,31.14,31.535,8800381.0
2020-04-29,30.785,32.47,30.1,32.44,7028901.0
2020-04-28,29.425,30.98,29.29,30.41,7222843.0
2020-04-27,28.5,29.32,28.33,29.32,4900488.0
2020-04-24,28.15,28.735,27.485,27.56,5418286.0
2020-04-23,28.08,29.055,27.72,28.735,4993835.0
2020-04-22,27.785,27.91,27.375,27.85,4023227.0
2020-04-21,28.1,28.105,27.225,27.43,5987075.0
2020-04-20,29.545,29.585,27.7,28.675,6586043.0
2020-04-17,28.64,29.63,28.31,29.04,8416127.0
2020-04-16,28.285,28.815,27.3,27.69,5247381.0
2020-04-15,29.535,29.535,27.53,27.62,6470209.0
2020-04-14,30.845,30.925,29.365,29.4,5804223.0
2020-04-09,29.0,29.86,28.205,29.84,8897579.0
2020-04-08,27.95,28.62,27.14,28.125,5464092.0
2020-04-07,28.99,29.775,26.985,28.14,8477627.0
2020-04-06,25.95,27.345,25.745,27.345,6743071.0
2020-04-03,25.15,25.35,24.3,24.52,5796331.0
2020-04-02,25.75,26.59,24.315,25.175,8251815.0
2020-04-01,26.5,26.61,25.525,25.525,6508728.0
2020-03-31,27.54,28.775,26.665,27.52,7011200.0
2020-03-30,27.325,27.775,26.27,27.205,6651606.0
2020-03-27,28.73,29.14,26.975,27.2,8831768.0
2020-03-26,28.91,29.585,27.67,29.585,11110940.0
2020-03-25,30.45,31.9,28.32,29.765,15137430.0
2020-03-24,24.7,29.28,24.505,29.28,13524800.0
2020-03-23,21.715,23.495,21.47,23.005,12175340.0
2020-03-20,23.0,23.93,22.65,22.675,16664189.0
2020-03-19,22.0,23.115,21.015,21.84,11513280.0
2020-03-18,23.185,23.865,21.425,22.08,10355050.0
2020-03-17,24.05,24.9,21.5,24.35,13532230.0
2020-03-16,24.0,24.345,22.175,22.92,14756840.0
2020-03-13,26.55,29.11,24.985,25.65,20138580.0
2020-03-12,29.38,29.645,25.085,25.095,20325301.0
2020-03-11,31.27,32.35,30.48,30.925,8778860.0
2020-03-10,30.915,32.855,30.16,30.675,12272640.0
2020-03-09,32.2,32.215,30.05,30.175,15511440.0
2020-03-06,35.26,35.66,34.08,34.86,10171390.0
2020-03-05,37.72,37.78,36.075,36.195,6178110.0
2020-03-04,36.835,37.7,36.43,37.63,6580665.0
2020-03-03,37.56,38.16,36.435,36.67,8729324.0
2020-03-02,38.0,38.215,36.5,37.13,7553806.0
2020-02-28,37.165,37.82,36.72,37.54,12165530.0
2020-02-27,39.21,39.615,38.36,38.84,7863903.0
2020-02-26,39.25,40.285,38.275,40.185,8077171.0
2020-02-25,40.12,40.215,38.97,39.5,6951787.0
2020-02-24,41.325,41.435,39.525,39.725,10085500.0
2020-02-21,43.41,43.93,42.105,42.595,6622320.0
2020-02-20,42.67,44.31,42.3,43.745,5853497.0
2020-02-19,42.685,42.85,42.085,42.77,3123095.0
2020-02-18,43.1,43.215,42.47,42.47,4110778.0
2020-02-17,43.7,44.23,43.49,43.675,2854134.0
2020-02-14,43.2,44.015,43.035,43.065,3245409.0
2020-02-13,43.3,43.73,42.815,43.245,4206386.0
2020-02-12,42.615,44.14,42.6,43.995,4974951.0
2020-02-11,44.555,44.765,42.405,42.635,7718339.0
2020-02-10,42.99,43.565,42.675,43.045,3691433.0
2020-02-07,43.88,43.88,42.72,42.885,4450968.0
2020-02-06,44.54,44.88,44.01,44.075,3719477.0
2020-02-05,42.4,44.055,42.125,44.055,6063103.0
2020-02-04,41.85,42.56,41.615,42.35,3491052.0
2020-02-03,41.875,41.985,41.415,41.62,4054101.0
2020-01-31,42.845,42.96,41.67,41.805,5005050.0
2020-01-30,42.97,43.385,42.645,42.79,3307883.0
2020-01-29,43.45,43.73,43.075,43.415,3298378.0
2020-01-28,42.69,43.48,42.12,43.285,5579986.0
2020-01-27,43.33,43.43,42.39,42.575,5465565.0
2020-01-24,44.56,44.705,43.75,43.94,4987245.0
2020-01-23,45.005,45.405,44.23,44.43,4726687.0
2020-01-22,46.555,47.61,45.155,45.415,7485527.0
2020-01-21,46.28,46.775,45.95,46.4,2762020.0
2020-01-20,46.505,46.785,46.215,46.565,2330565.0
2020-01-17,47.33,47.51,46.66,46.69,3811872.0
2020-01-16,47.29,47.45,46.56,46.875,3757510.0
2020-01-15,48.455,48.46,47.145,47.24,4872219.0
2020-01-14,48.865,49.17,48.27,48.455,3468827.0
2020-01-13,49.6,49.6,48.52,48.895,2569939.0
2020-01-10,49.855,49.905,49.355,49.43,2604016.0
2020-01-09,49.9,50.15,49.645,49.68,2577150.0
2020-01-08,48.8,49.495,48.68,49.47,2211675.0
2020-01-07,49.05,49.545,48.91,49.195,2342715.0
2020-01-06,48.335,48.805,47.735,48.805,2862373.0
2020-01-03,49.65,49.73,48.455,49.07,3338853.0
2020-01-02,49.405,50.31,49.26,49.975,2473330.0
2019-12-30,49.6,49.75,49.26,49.37,1295834.0
2019-12-27,49.795,50.18,49.67,49.84,1967115.0
2019-12-23,49.7,49.825,49.23,49.785,2496274.0
2019-12-20,49.815,50.1,49.66,49.97,8696791.0
2019-12-19,50.2,50.34,49.275,49.91,3472279.0
2019-12-18,50.84,51.09,50.22,50.31,2999800.0
2019-12-17,50.8,51.16,50.65,51.05,3550082.0
2019-12-16,51.0,51.0,50.36,50.86,2653175.0
2019-12-13,51.0,51.69,50.36,50.63,5577452.0
2019-12-12,49.475,50.23,48.975,49.92,3102639.0
2019-12-11,48.825,49.64,48.725,49.495,2872925.0
2019-12-10,48.725,48.935,48.02,48.755,3729883.0
2019-12-09,49.63,49.745,48.975,49.055,1910236.0
2019-12-06,49.4,49.5,48.715,49.455,3186143.0
2019-12-05,49.51,49.87,49.26,49.26,2450427.0
2019-12-04,49.215,49.9,49.215,49.6,3085897.0
2019-12-03,49.885,50.15,48.885,49.245,4083165.0
2019-12-02,51.11,51.39,49.85,49.855,4897652.0
2019-11-29,51.74,51.86,51.17,51.2,3132036.0
2019-11-28,52.29,52.29,51.78,51.96,1528011.0
2019-11-27,52.73,53.21,52.27,52.43,3176517.0
2019-11-26,52.61,52.97,52.31,52.52,3926905.0
2019-11-25,52.55,53.23,52.51,52.75,4076534.0
2019-11-22,51.0,52.21,50.98,52.03,5415268.0
2019-11-21,50.0,52.14,49.92,51.03,6196717.0
2019-11-20,49.95,50.46,49.585,50.1,3800381.0
2019-11-19,50.15,50.88,50.05,50.16,4784904.0
2019-11-18,50.57,50.97,49.74,50.23,6189499.0
2019-11-15,50.84,51.66,50.61,50.68,7753567.0
2019-11-14,51.9,52.3,51.04,51.14,10783810.0
2019-11-13,53.58,53.85,52.97,53.54,4122044.0
2019-11-12,53.84,54.19,53.58,53.92,3511982.0
2019-11-11,53.21,53.75,52.93,53.43,3170858.0
2019-11-08,53.91,53.99,53.17,53.45,4165520.0
2019-11-07,52.8,54.0,52.8,53.79,5159460.0
2019-11-06,52.56,52.88,52.29,52.61,4589694.0
2019-11-05,52.5,53.38,52.49,53.32,5683761.0
2019-11-04,53.5,54.5,52.96,53.15,7883543.0
2019-11-01,52.56,53.03,52.43,52.7,3204103.0
2019-10-31,53.16,53.16,52.05,52.41,5516736.0
2019-10-30,53.85,54.33,52.79,53.1,6528312.0
2019-10-29,53.5,53.97,53.02,53.45,4148735.0
2019-10-28,52.9,54.12,52.9,53.55,5399808.0
2019-10-25,52.0,53.41,51.88,52.88,5747489.0
2019-10-24,51.6,53.65,51.51,52.06,9715731.0
2019-10-23,49.35,50.53,49.35,50.42,4472535.0
2019-10-22,49.21,49.965,49.21,49.645,5137082.0
2019-10-21,48.585,49.53,48.585,49.2,4657948.0
